date,kospi,kospi_chg,k200,samsung,hynix,usdkrw,concentration,adv,dec,decl_frac,vkospi,total,status
2026-06-02,8801.49,0.15,1407.23,360500.0,2360000.0,1527.300048828125,0.5252,271,636,0.701,73.6,79.9,第一笔·待右侧
2026-06-04,8639.41,-1.84,1379.56,351500.0,2298000.0,1532.449951171875,0.522,447,446,0.499,73.44,77.7,第一笔·待右侧
2026-06-05,8160.59,-5.54,1297.02,295500.0,1911000.0,1526.8900146484375,0.522,,,0.499,76.63,81.0,第一笔·待右侧
2026-06-08,7484.41015625,-8.29,1186.5400390625,295500.0,1911000.0,1531.3800048828125,0.522,,,0.499,76.63,81.0,第一笔·待右侧
2026-06-09,8096.93,8.18,1293.4,322000.0,2215000.0,1524.2900390625,0.5224,774,133,0.147,91.23,81.8,第一笔·待右侧
2026-06-10,7730.82,-4.52,1227.12,302500.0,2048000.0,1518.5999755859375,,,,,88.35,86.3,主仓区
2026-06-11,7763.95,0.43,1231.54,299000.0,2101000.0,1530.5799560546875,0.5109,576,320,0.357,87.3,83.0,主仓区
2026-06-12,8123.62,4.63,1291.32,322500.0,2150000.0,1519.1800537109375,0.514,756,144,0.16,89.91,78.3,第一笔
2026-06-15,8545.98,5.2,1360.26,337000.0,2288000.0,1511.3699951171875,0.5149,676,207,0.234,88.35,78.7,第一笔
2026-06-16,8726.6,2.11,1391.74,343000.0,2382000.0,1508.6199951171875,0.5184,519,360,0.41,84.29,78.6,第一笔·待右侧
2026-06-17,8864.24,1.58,1416.97,346500.0,2521000.0,1515.6199951171875,0.527,349,526,0.601,79.65,76.1,第一笔·待右侧
